strain,country
EPI_ISL_654523,Europe / Spain
EPI_ISL_601759,Wales
EPI_ISL_601703,Wales
EPI_ISL_582090,Europe / Spain
EPI_ISL_829861,Europe / Iceland
EPI_ISL_627338,Wales
EPI_ISL_831171,Europe / Spain
EPI_ISL_831010,Europe / Switzerland
EPI_ISL_573899,Wales
EPI_ISL_830132,Europe / Iceland
EPI_ISL_2750982,Scotland
EPI_ISL_829871,Europe / Iceland
EPI_ISL_627335,Wales
EPI_ISL_827604,Europe / Iceland
EPI_ISL_577829,Europe / Netherlands
EPI_ISL_577830,Europe / Netherlands
EPI_ISL_601716,Wales
EPI_ISL_627336,Wales
EPI_ISL_830138,Europe / Iceland
EPI_ISL_2750994,Scotland
EPI_ISL_585282,Scotland
EPI_ISL_830480,Europe / Iceland
EPI_ISL_601714,Wales
EPI_ISL_627357,Wales
EPI_ISL_574221,Wales
EPI_ISL_577404,Wales
EPI_ISL_577407,Wales
EPI_ISL_577408,Wales
EPI_ISL_802739,Europe / Spain
EPI_ISL_577411,Wales
EPI_ISL_577413,Wales
EPI_ISL_627356,Wales
EPI_ISL_577415,Wales
EPI_ISL_577405,Wales
EPI_ISL_574026,Wales
EPI_ISL_577402,Wales
EPI_ISL_577414,Wales
EPI_ISL_828242,Europe / Iceland
EPI_ISL_573897,Wales
EPI_ISL_573879,Wales
EPI_ISL_573878,Wales
EPI_ISL_1140420,Europe / Germany
EPI_ISL_601662,Wales
EPI_ISL_627334,Wales
EPI_ISL_601519,Wales
EPI_ISL_815346,Europe / Germany
EPI_ISL_585310,Scotland
EPI_ISL_829021,Europe / Iceland
EPI_ISL_8525864,Africa / Senegal
EPI_ISL_654097,Europe / Spain
EPI_ISL_654098,Europe / Spain
EPI_ISL_627332,Wales
EPI_ISL_627333,Wales
EPI_ISL_770728,Europe / Germany
EPI_ISL_627748,Wales
EPI_ISL_829022,Europe / Iceland
EPI_ISL_722825,Europe / Netherlands
EPI_ISL_601696,Wales
EPI_ISL_601289,Wales
EPI_ISL_577403,Wales
EPI_ISL_577416,Wales
EPI_ISL_601625,Wales
EPI_ISL_578004,Europe / Netherlands
EPI_ISL_829020,Europe / Iceland
EPI_ISL_829016,Europe / Iceland
EPI_ISL_829018,Europe / Iceland
EPI_ISL_654099,Europe / Spain
EPI_ISL_577409,Wales
EPI_ISL_601735,Wales
EPI_ISL_573949,Wales
EPI_ISL_580980,Wales
EPI_ISL_796031,Europe / Germany
EPI_ISL_601675,Wales
EPI_ISL_601517,Wales
EPI_ISL_641594,Europe / Belgium
EPI_ISL_830477,Europe / Iceland
EPI_ISL_580900,Wales
EPI_ISL_601293,Wales
EPI_ISL_574136,Wales
EPI_ISL_601497,Wales
EPI_ISL_601661,Wales
EPI_ISL_601760,Wales
EPI_ISL_601397,Wales
EPI_ISL_601398,Wales
EPI_ISL_601458,Wales
EPI_ISL_601665,Wales
EPI_ISL_601316,Wales
EPI_ISL_796030,Europe / Germany
EPI_ISL_829019,Europe / Iceland
EPI_ISL_586140,Wales
EPI_ISL_580882,Wales
EPI_ISL_586131,Wales
EPI_ISL_827599,Europe / Iceland
EPI_ISL_601263,Wales
EPI_ISL_601382,Wales
EPI_ISL_601553,Wales
EPI_ISL_601566,Wales
EPI_ISL_829874,Europe / Iceland
EPI_ISL_577468,Wales
EPI_ISL_580896,Wales
EPI_ISL_2644373,Europe / Slovenia
EPI_ISL_641584,Europe / Belgium
EPI_ISL_830474,Europe / Iceland
EPI_ISL_574203,Wales
EPI_ISL_574196,Wales
EPI_ISL_827603,Europe / Iceland
EPI_ISL_577488,Wales
EPI_ISL_827600,Europe / Iceland
EPI_ISL_574130,Wales
EPI_ISL_830135,Europe / Iceland
EPI_ISL_601613,Wales
EPI_ISL_574010,Wales
EPI_ISL_830134,Europe / Iceland
EPI_ISL_573986,Wales
EPI_ISL_601769,Wales
EPI_ISL_601609,Wales
EPI_ISL_2750981,Scotland
EPI_ISL_830136,Europe / Iceland
EPI_ISL_573955,Wales
EPI_ISL_830137,Europe / Iceland
EPI_ISL_601538,Wales
EPI_ISL_2751038,Scotland
EPI_ISL_925438,Europe / Belgium
EPI_ISL_601441,Wales
EPI_ISL_830473,Europe / Iceland
EPI_ISL_830476,Europe / Iceland
EPI_ISL_601770,Wales
EPI_ISL_2750984,Scotland
EPI_ISL_601542,Wales
EPI_ISL_2750975,Scotland
EPI_ISL_573985,Wales
EPI_ISL_573906,Wales
EPI_ISL_601503,Wales
EPI_ISL_574056,Wales
EPI_ISL_802738,Europe / Spain
EPI_ISL_601655,Wales
EPI_ISL_574052,Wales
EPI_ISL_830133,Europe / Iceland
EPI_ISL_638913,Scotland
EPI_ISL_601277,Wales
EPI_ISL_827642,Europe / Iceland
EPI_ISL_827638,Europe / Iceland
EPI_ISL_1296398,Europe / France
EPI_ISL_7671805,Europe / Italy
EPI_ISL_827637,Europe / Iceland
EPI_ISL_827645,Europe / Iceland
EPI_ISL_585287,Scotland
EPI_ISL_580921,Wales
EPI_ISL_580873,Wales
EPI_ISL_827571,Europe / Iceland
EPI_ISL_827122,Europe / Iceland
EPI_ISL_581084,Wales
EPI_ISL_777000,Europe / Italy
EPI_ISL_777001,Europe / Italy
EPI_ISL_776999,Europe / Italy
EPI_ISL_827121,Europe / Iceland
EPI_ISL_729599,Europe / Germany
EPI_ISL_828241,Europe / Iceland
EPI_ISL_580875,Wales
EPI_ISL_639005,Wales
EPI_ISL_638912,Scotland
EPI_ISL_828766,Europe / Iceland
EPI_ISL_581315,Wales
EPI_ISL_581311,Wales
EPI_ISL_639003,Wales
EPI_ISL_827123,Europe / Iceland
EPI_ISL_827124,Europe / Iceland
EPI_ISL_828771,Europe / Iceland
EPI_ISL_577996,Europe / Netherlands
EPI_ISL_585325,Scotland
EPI_ISL_581064,Wales
EPI_ISL_580904,Wales
EPI_ISL_828229,Europe / Iceland
EPI_ISL_578053,Europe / Netherlands
EPI_ISL_581093,Wales
EPI_ISL_2731395,Europe / Netherlands
EPI_ISL_581178,Wales
EPI_ISL_585622,Wales
EPI_ISL_585623,Wales
EPI_ISL_581188,Wales
EPI_ISL_581058,Wales
EPI_ISL_582053,Europe / Spain
EPI_ISL_828772,Europe / Iceland
EPI_ISL_581152,Wales
EPI_ISL_581067,Wales
EPI_ISL_581086,Wales
EPI_ISL_581074,Wales
EPI_ISL_2017522,Europe / Spain
EPI_ISL_577994,Europe / Netherlands
EPI_ISL_580979,Wales
EPI_ISL_580935,Wales
EPI_ISL_827641,Europe / Iceland
EPI_ISL_585286,Scotland
EPI_ISL_828764,Europe / Iceland
EPI_ISL_828769,Europe / Iceland
EPI_ISL_828763,Europe / Iceland
EPI_ISL_735005,Europe / Belgium
EPI_ISL_827660,Europe / Iceland
EPI_ISL_581287,Wales
EPI_ISL_828768,Europe / Iceland
EPI_ISL_585321,Scotland
EPI_ISL_859689,Asia / United Arab Emirates
EPI_ISL_585322,Scotland
EPI_ISL_580902,Wales
EPI_ISL_589797,Wales
EPI_ISL_831170,Europe / Spain
EPI_ISL_828767,Europe / Iceland
EPI_ISL_601346,Wales
EPI_ISL_601485,Wales
EPI_ISL_574046,Wales
EPI_ISL_777006,Europe / Italy
EPI_ISL_776998,Europe / Italy
EPI_ISL_574025,Wales
EPI_ISL_601487,Wales
EPI_ISL_601457,Wales
EPI_ISL_638911,Scotland
EPI_ISL_601396,Wales
EPI_ISL_601385,Wales
EPI_ISL_574247,Wales
EPI_ISL_574254,Wales
EPI_ISL_627339,Wales
EPI_ISL_601292,Wales
EPI_ISL_574177,Wales
EPI_ISL_601593,Wales
EPI_ISL_585340,Scotland
EPI_ISL_777007,Europe / Italy
EPI_ISL_776997,Europe / Italy
EPI_ISL_601337,Wales
EPI_ISL_581278,Wales
EPI_ISL_574078,Wales
EPI_ISL_802746,Europe / Spain
EPI_ISL_574075,Wales
EPI_ISL_802744,Europe / Spain
EPI_ISL_639004,Wales
EPI_ISL_802743,Europe / Spain
EPI_ISL_573957,Wales
EPI_ISL_581284,Wales
EPI_ISL_573987,Wales
EPI_ISL_574140,Wales
EPI_ISL_580990,Wales
EPI_ISL_589799,Wales
EPI_ISL_580929,Wales
EPI_ISL_601350,Wales
EPI_ISL_574198,Wales
EPI_ISL_580861,Wales
EPI_ISL_581122,Wales
EPI_ISL_589794,Wales
EPI_ISL_581000,Wales
EPI_ISL_574157,Wales
EPI_ISL_601306,Wales
EPI_ISL_574216,Wales
EPI_ISL_595371,Wales
EPI_ISL_595583,Wales
EPI_ISL_827640,Europe / Iceland
EPI_ISL_601264,Wales
EPI_ISL_574152,Wales
EPI_ISL_581173,Wales
EPI_ISL_581159,Wales
EPI_ISL_828770,Europe / Iceland
EPI_ISL_581054,Wales
EPI_ISL_574020,Wales
EPI_ISL_580993,Wales
EPI_ISL_581046,Wales
EPI_ISL_581225,Wales
EPI_ISL_581106,Wales
EPI_ISL_581201,Wales
EPI_ISL_581120,Wales
EPI_ISL_581272,Wales
EPI_ISL_581126,Wales
EPI_ISL_581038,Wales
EPI_ISL_581259,Wales
EPI_ISL_577997,Europe / Netherlands
EPI_ISL_768769,Republic of Ireland
EPI_ISL_577999,Europe / Netherlands
EPI_ISL_827945,Europe / Iceland
EPI_ISL_796027,Europe / Germany
EPI_ISL_829438,Europe / Iceland
EPI_ISL_802748,Europe / Spain
EPI_ISL_802742,Europe / Spain
EPI_ISL_802747,Europe / Spain
EPI_ISL_627352,Wales
EPI_ISL_802745,Europe / Spain
EPI_ISL_627354,Wales
EPI_ISL_777005,Europe / Italy
EPI_ISL_777004,Europe / Italy
EPI_ISL_627351,Wales
EPI_ISL_757373,Europe / Finland
EPI_ISL_627353,Wales
EPI_ISL_627349,Scotland
EPI_ISL_627347,Scotland
EPI_ISL_581142,Wales
EPI_ISL_581212,Wales
EPI_ISL_581335,Wales
EPI_ISL_589798,Wales
EPI_ISL_601321,Wales
EPI_ISL_627340,Wales
EPI_ISL_627348,Scotland
EPI_ISL_627343,Wales
EPI_ISL_639654,Europe / Latvia
EPI_ISL_581361,Wales
EPI_ISL_577998,Europe / Netherlands
EPI_ISL_627346,Scotland
EPI_ISL_796034,Europe / Germany
EPI_ISL_777003,Europe / Italy
EPI_ISL_585284,Scotland
EPI_ISL_959986,Europe / Germany
EPI_ISL_601311,Wales
EPI_ISL_573946,Wales
EPI_ISL_829013,Europe / Iceland
EPI_ISL_627341,Wales
EPI_ISL_826999,Europe / Iceland
EPI_ISL_621206,Europe / Denmark
EPI_ISL_621223,Europe / Denmark
EPI_ISL_621344,Europe / Denmark
EPI_ISL_621293,Europe / Denmark
EPI_ISL_621175,Europe / Denmark
EPI_ISL_621207,Europe / Denmark
EPI_ISL_621157,Europe / Denmark
EPI_ISL_621089,Europe / Denmark
EPI_ISL_621277,Europe / Denmark
EPI_ISL_621331,Europe / Denmark
EPI_ISL_621165,Europe / Denmark
EPI_ISL_621276,Europe / Denmark
EPI_ISL_621225,Europe / Denmark
EPI_ISL_621172,Europe / Denmark
EPI_ISL_621337,Europe / Denmark
EPI_ISL_601196,Scotland
EPI_ISL_581250,Wales
EPI_ISL_621162,Europe / Denmark
EPI_ISL_621168,Europe / Denmark
EPI_ISL_621280,Europe / Denmark
EPI_ISL_621166,Europe / Denmark
EPI_ISL_621160,Europe / Denmark
EPI_ISL_581314,Wales
EPI_ISL_601212,Scotland
EPI_ISL_621131,Europe / Denmark
EPI_ISL_621197,Europe / Denmark
EPI_ISL_621136,Europe / Denmark
EPI_ISL_601195,Scotland
EPI_ISL_621163,Europe / Denmark
EPI_ISL_621274,Europe / Denmark
EPI_ISL_621156,Europe / Denmark
EPI_ISL_621135,Europe / Denmark
EPI_ISL_621287,Europe / Denmark
EPI_ISL_621262,Europe / Denmark
EPI_ISL_601226,Scotland
EPI_ISL_621161,Europe / Denmark
EPI_ISL_601230,Scotland
EPI_ISL_581325,Wales
EPI_ISL_601228,Scotland
EPI_ISL_621133,Europe / Denmark
EPI_ISL_621088,Europe / Denmark
EPI_ISL_621167,Europe / Denmark
EPI_ISL_621288,Europe / Denmark
EPI_ISL_622294,Europe / Denmark
EPI_ISL_621282,Europe / Denmark
EPI_ISL_601231,Scotland
EPI_ISL_581234,Wales
EPI_ISL_581339,Wales
EPI_ISL_621158,Europe / Denmark
EPI_ISL_601105,Scotland
EPI_ISL_601211,Scotland
EPI_ISL_601189,Scotland
EPI_ISL_601202,Scotland
EPI_ISL_581134,Wales
EPI_ISL_620846,Europe / Denmark
EPI_ISL_620832,Europe / Denmark
EPI_ISL_620843,Europe / Denmark
EPI_ISL_620842,Europe / Denmark
EPI_ISL_620763,Europe / Denmark
EPI_ISL_620762,Europe / Denmark
EPI_ISL_620789,Europe / Denmark
EPI_ISL_581143,Wales
EPI_ISL_620786,Europe / Denmark
EPI_ISL_601183,Scotland
EPI_ISL_601190,Scotland
EPI_ISL_621284,Europe / Denmark
EPI_ISL_621370,Europe / Denmark
EPI_ISL_621805,Europe / Denmark
EPI_ISL_3254942,North America / USA
EPI_ISL_827027,Europe / Iceland
EPI_ISL_601232,Scotland
EPI_ISL_621627,Europe / Denmark
EPI_ISL_621514,Europe / Denmark
EPI_ISL_620830,Europe / Denmark
EPI_ISL_627345,Wales
EPI_ISL_601428,Wales
EPI_ISL_601203,Scotland
EPI_ISL_620839,Europe / Denmark
EPI_ISL_620801,Europe / Denmark
EPI_ISL_620840,Europe / Denmark
EPI_ISL_620828,Europe / Denmark
EPI_ISL_621348,Europe / Denmark
EPI_ISL_581161,Wales
EPI_ISL_768766,Republic of Ireland
EPI_ISL_581326,Wales
EPI_ISL_621227,Europe / Denmark
EPI_ISL_621114,Europe / Denmark
EPI_ISL_621115,Europe / Denmark
EPI_ISL_574081,Wales
EPI_ISL_621117,Europe / Denmark
EPI_ISL_621330,Europe / Denmark
EPI_ISL_621332,Europe / Denmark
EPI_ISL_621232,Europe / Denmark
EPI_ISL_826886,Europe / Iceland
EPI_ISL_581263,Wales
EPI_ISL_621356,Europe / Denmark
EPI_ISL_581328,Wales
EPI_ISL_601186,Scotland
EPI_ISL_601310,Wales
EPI_ISL_621297,Europe / Denmark
EPI_ISL_601224,Scotland
EPI_ISL_601194,Scotland
EPI_ISL_599793,Scotland
EPI_ISL_599779,Scotland
EPI_ISL_601419,Wales
EPI_ISL_830249,Europe / Iceland
EPI_ISL_744489,Europe / Luxembourg
EPI_ISL_599776,Scotland
EPI_ISL_573916,Wales
EPI_ISL_601233,Scotland
EPI_ISL_581168,Wales
EPI_ISL_601220,Scotland
EPI_ISL_581254,Wales
EPI_ISL_581282,Wales
EPI_ISL_581222,Wales
EPI_ISL_599725,Scotland
EPI_ISL_620780,Europe / Denmark
EPI_ISL_904425,Europe / Netherlands
EPI_ISL_621329,Europe / Denmark
EPI_ISL_621358,Europe / Denmark
EPI_ISL_621409,Europe / Denmark
EPI_ISL_621452,Europe / Denmark
EPI_ISL_904424,Europe / Netherlands
EPI_ISL_621499,Europe / Denmark
EPI_ISL_621519,Europe / Denmark
EPI_ISL_621659,Europe / Denmark
EPI_ISL_621673,Europe / Denmark
EPI_ISL_621691,Europe / Denmark
EPI_ISL_621962,Europe / Denmark
EPI_ISL_621961,Europe / Denmark
EPI_ISL_622082,Europe / Denmark
EPI_ISL_622183,Europe / Denmark
EPI_ISL_601215,Scotland
EPI_ISL_827413,Europe / Iceland
EPI_ISL_621086,Europe / Denmark
EPI_ISL_573795,Scotland
EPI_ISL_621497,Europe / Denmark
EPI_ISL_621649,Europe / Denmark
EPI_ISL_621584,Europe / Denmark
EPI_ISL_601198,Scotland
EPI_ISL_622278,Europe / Denmark
EPI_ISL_620845,Europe / Denmark
EPI_ISL_621292,Europe / Denmark
EPI_ISL_621321,Europe / Denmark
EPI_ISL_574079,Wales
EPI_ISL_601381,Wales
EPI_ISL_830196,Europe / Iceland
EPI_ISL_830410,Europe / Iceland
EPI_ISL_654116,Europe / Spain
EPI_ISL_654117,Europe / Spain
EPI_ISL_831174,Europe / Spain
EPI_ISL_577525,Wales
EPI_ISL_599646,Scotland
EPI_ISL_599745,Scotland
EPI_ISL_1015296,Europe / France
EPI_ISL_654100,Europe / Spain
EPI_ISL_654160,Europe / Spain
EPI_ISL_654161,Europe / Spain
EPI_ISL_1855058,Europe / Italy
EPI_ISL_621296,Europe / Denmark
EPI_ISL_577520,Wales
EPI_ISL_574073,Wales
EPI_ISL_621339,Europe / Denmark
EPI_ISL_621334,Europe / Denmark
EPI_ISL_621294,Europe / Denmark
EPI_ISL_585336,Scotland
EPI_ISL_585369,Scotland
EPI_ISL_824493,Europe / Spain
EPI_ISL_654148,Europe / Spain
EPI_ISL_824492,Europe / Spain
EPI_ISL_654103,Europe / Spain
EPI_ISL_654112,Europe / Spain
EPI_ISL_654115,Europe / Spain
EPI_ISL_654106,Europe / Spain
EPI_ISL_654102,Europe / Spain
EPI_ISL_654108,Europe / Spain
EPI_ISL_654101,Europe / Spain
EPI_ISL_654104,Europe / Spain
EPI_ISL_654111,Europe / Spain
EPI_ISL_654105,Europe / Spain
EPI_ISL_654110,Europe / Spain
EPI_ISL_654114,Europe / Spain
EPI_ISL_654113,Europe / Spain
EPI_ISL_654109,Europe / Spain
EPI_ISL_654088,Europe / Spain
EPI_ISL_654143,Europe / Spain
EPI_ISL_654150,Europe / Spain
EPI_ISL_654141,Europe / Spain
EPI_ISL_654154,Europe / Spain
EPI_ISL_654146,Europe / Spain
EPI_ISL_654156,Europe / Spain
EPI_ISL_654153,Europe / Spain
EPI_ISL_654118,Europe / Spain
EPI_ISL_585354,Scotland
EPI_ISL_654152,Europe / Spain
EPI_ISL_585288,Scotland
EPI_ISL_585276,Scotland
EPI_ISL_589792,Wales
EPI_ISL_599676,Scotland
EPI_ISL_2017553,Europe / Spain
EPI_ISL_575394,Scotland
EPI_ISL_601472,Wales
EPI_ISL_828974,Europe / Iceland
EPI_ISL_959983,Europe / Germany
EPI_ISL_828940,Europe / Iceland
EPI_ISL_654145,Europe / Spain
EPI_ISL_654144,Europe / Spain
EPI_ISL_654151,Europe / Spain
EPI_ISL_654120,Europe / Spain
EPI_ISL_654147,Europe / Spain
EPI_ISL_654158,Europe / Spain
EPI_ISL_827134,Europe / Iceland
EPI_ISL_654142,Europe / Spain
EPI_ISL_654139,Europe / Spain
EPI_ISL_581209,Wales
EPI_ISL_654155,Europe / Spain
EPI_ISL_585378,Scotland
EPI_ISL_654157,Europe / Spain
EPI_ISL_654133,Europe / Spain
EPI_ISL_827135,Europe / Iceland
EPI_ISL_577483,Wales
EPI_ISL_577477,Wales
EPI_ISL_577427,Wales
EPI_ISL_577506,Wales
EPI_ISL_577420,Wales
EPI_ISL_599807,Scotland
EPI_ISL_574239,Wales
EPI_ISL_574225,Wales
EPI_ISL_574137,Wales
EPI_ISL_599540,Scotland
EPI_ISL_599521,Scotland
EPI_ISL_654127,Europe / Spain
EPI_ISL_574242,Wales
EPI_ISL_654136,Europe / Spain
EPI_ISL_654131,Europe / Spain
EPI_ISL_654119,Europe / Spain
EPI_ISL_654128,Europe / Spain
EPI_ISL_627344,Wales
EPI_ISL_830568,Europe / Iceland
EPI_ISL_627358,Wales
EPI_ISL_627361,Scotland
EPI_ISL_627373,Scotland
EPI_ISL_627376,Scotland
EPI_ISL_627364,Scotland
EPI_ISL_627365,Scotland
EPI_ISL_627367,Scotland
EPI_ISL_627363,Scotland
EPI_ISL_627362,Scotland
EPI_ISL_654159,Europe / Spain
EPI_ISL_573902,Wales
EPI_ISL_574048,Wales
EPI_ISL_573881,Wales
EPI_ISL_574029,Wales
EPI_ISL_573968,Wales
EPI_ISL_573937,Wales
EPI_ISL_573945,Wales
EPI_ISL_828978,Europe / Iceland
EPI_ISL_828705,Europe / Iceland
EPI_ISL_574142,Wales
EPI_ISL_574109,Wales
EPI_ISL_622260,Europe / Denmark
EPI_ISL_601191,Scotland
EPI_ISL_622296,Europe / Denmark
EPI_ISL_621628,Europe / Denmark
EPI_ISL_621641,Europe / Denmark
EPI_ISL_621634,Europe / Denmark
EPI_ISL_621505,Europe / Denmark
EPI_ISL_621518,Europe / Denmark
EPI_ISL_599557,Scotland
EPI_ISL_621553,Europe / Denmark
EPI_ISL_828969,Europe / Iceland
EPI_ISL_621560,Europe / Denmark
EPI_ISL_621440,Europe / Denmark
EPI_ISL_621552,Europe / Denmark
EPI_ISL_621547,Europe / Denmark
EPI_ISL_621441,Europe / Denmark
EPI_ISL_621500,Europe / Denmark
EPI_ISL_621430,Europe / Denmark
EPI_ISL_621556,Europe / Denmark
EPI_ISL_621640,Europe / Denmark
EPI_ISL_828975,Europe / Iceland
EPI_ISL_621523,Europe / Denmark
EPI_ISL_620775,Europe / Denmark
EPI_ISL_621386,Europe / Denmark
EPI_ISL_621502,Europe / Denmark
EPI_ISL_599537,Scotland
EPI_ISL_621624,Europe / Denmark
EPI_ISL_621603,Europe / Denmark
EPI_ISL_621513,Europe / Denmark
EPI_ISL_621620,Europe / Denmark
EPI_ISL_621507,Europe / Denmark
EPI_ISL_599539,Scotland
EPI_ISL_621516,Europe / Denmark
EPI_ISL_621557,Europe / Denmark
EPI_ISL_621563,Europe / Denmark
EPI_ISL_621566,Europe / Denmark
EPI_ISL_621916,Europe / Denmark
EPI_ISL_828697,Europe / Iceland
EPI_ISL_621444,Europe / Denmark
EPI_ISL_621694,Europe / Denmark
EPI_ISL_621508,Europe / Denmark
EPI_ISL_621567,Europe / Denmark
EPI_ISL_621418,Europe / Denmark
EPI_ISL_599511,Scotland
EPI_ISL_621413,Europe / Denmark
EPI_ISL_599491,Scotland
EPI_ISL_621417,Europe / Denmark
EPI_ISL_621422,Europe / Denmark
EPI_ISL_621420,Europe / Denmark
EPI_ISL_621616,Europe / Denmark
EPI_ISL_621619,Europe / Denmark
EPI_ISL_621559,Europe / Denmark
EPI_ISL_621546,Europe / Denmark
EPI_ISL_621562,Europe / Denmark
EPI_ISL_622295,Europe / Denmark
EPI_ISL_621445,Europe / Denmark
EPI_ISL_621530,Europe / Denmark
EPI_ISL_621558,Europe / Denmark
EPI_ISL_621527,Europe / Denmark
EPI_ISL_621526,Europe / Denmark
EPI_ISL_621528,Europe / Denmark
EPI_ISL_621542,Europe / Denmark
EPI_ISL_621423,Europe / Denmark
EPI_ISL_828968,Europe / Iceland
EPI_ISL_621702,Europe / Denmark
EPI_ISL_621629,Europe / Denmark
EPI_ISL_621362,Europe / Denmark
EPI_ISL_621325,Europe / Denmark
EPI_ISL_827017,Europe / Iceland
EPI_ISL_621319,Europe / Denmark
EPI_ISL_827016,Europe / Iceland
EPI_ISL_621476,Europe / Denmark
EPI_ISL_621300,Europe / Denmark
EPI_ISL_621487,Europe / Denmark
EPI_ISL_621480,Europe / Denmark
EPI_ISL_621470,Europe / Denmark
EPI_ISL_621450,Europe / Denmark
EPI_ISL_621590,Europe / Denmark
EPI_ISL_621318,Europe / Denmark
EPI_ISL_621313,Europe / Denmark
EPI_ISL_777009,Europe / Italy
EPI_ISL_621176,Europe / Denmark
EPI_ISL_621170,Europe / Denmark
EPI_ISL_735006,Europe / Belgium
EPI_ISL_777008,Europe / Italy
EPI_ISL_621087,Europe / Denmark
EPI_ISL_621174,Europe / Denmark
EPI_ISL_599492,Scotland
EPI_ISL_827012,Europe / Iceland
EPI_ISL_621308,Europe / Denmark
EPI_ISL_729606,Europe / Germany
EPI_ISL_621320,Europe / Denmark
EPI_ISL_621202,Europe / Denmark
EPI_ISL_621298,Europe / Denmark
EPI_ISL_621451,Europe / Denmark
EPI_ISL_621576,Europe / Denmark
EPI_ISL_621361,Europe / Denmark
EPI_ISL_621387,Europe / Denmark
EPI_ISL_621388,Europe / Denmark
EPI_ISL_621586,Europe / Denmark
EPI_ISL_621498,Europe / Denmark
EPI_ISL_654129,Europe / Spain
EPI_ISL_644448,Europe / France
EPI_ISL_621506,Europe / Denmark
EPI_ISL_621379,Europe / Denmark
EPI_ISL_599588,Scotland
EPI_ISL_621504,Europe / Denmark
EPI_ISL_621509,Europe / Denmark
EPI_ISL_621491,Europe / Denmark
EPI_ISL_654137,Europe / Spain
EPI_ISL_654138,Europe / Spain
EPI_ISL_654134,Europe / Spain
EPI_ISL_621582,Europe / Denmark
EPI_ISL_621309,Europe / Denmark
EPI_ISL_621367,Europe / Denmark
EPI_ISL_621456,Europe / Denmark
EPI_ISL_621461,Europe / Denmark
EPI_ISL_621398,Europe / Denmark
EPI_ISL_621459,Europe / Denmark
EPI_ISL_621397,Europe / Denmark
EPI_ISL_621468,Europe / Denmark
EPI_ISL_621396,Europe / Denmark
EPI_ISL_621391,Europe / Denmark
EPI_ISL_654126,Europe / Spain
EPI_ISL_654122,Europe / Spain
EPI_ISL_654121,Europe / Spain
EPI_ISL_621520,Europe / Denmark
EPI_ISL_828710,Europe / Iceland
EPI_ISL_621564,Europe / Denmark
EPI_ISL_621964,Europe / Denmark
EPI_ISL_578059,Europe / Netherlands
EPI_ISL_601273,Wales
EPI_ISL_621932,Europe / Denmark
EPI_ISL_621928,Europe / Denmark
EPI_ISL_578038,Europe / Netherlands
EPI_ISL_7671848,Europe / Italy
EPI_ISL_622280,Europe / Denmark
EPI_ISL_622088,Europe / Denmark
EPI_ISL_621806,Europe / Denmark
EPI_ISL_621800,Europe / Denmark
EPI_ISL_621922,Europe / Denmark
EPI_ISL_622299,Europe / Denmark
EPI_ISL_621686,Europe / Denmark
EPI_ISL_621828,Europe / Denmark
EPI_ISL_622085,Europe / Denmark
EPI_ISL_622284,Europe / Denmark
EPI_ISL_621925,Europe / Denmark
EPI_ISL_621811,Europe / Denmark
EPI_ISL_599704,Scotland
EPI_ISL_621816,Europe / Denmark
EPI_ISL_622081,Europe / Denmark
EPI_ISL_973539,North America / Canada
EPI_ISL_601187,Scotland
EPI_ISL_632549,Europe / Netherlands
EPI_ISL_622157,Europe / Denmark
EPI_ISL_621740,Europe / Denmark
EPI_ISL_621820,Europe / Denmark
EPI_ISL_622304,Europe / Denmark
EPI_ISL_621760,Europe / Denmark
EPI_ISL_622291,Europe / Denmark
EPI_ISL_622303,Europe / Denmark
EPI_ISL_621885,Europe / Denmark
EPI_ISL_577470,Wales
EPI_ISL_601217,Scotland
EPI_ISL_621734,Europe / Denmark
EPI_ISL_7671740,Europe / Italy
EPI_ISL_621812,Europe / Denmark
EPI_ISL_622182,Europe / Denmark
EPI_ISL_621668,Europe / Denmark
EPI_ISL_621799,Europe / Denmark
EPI_ISL_574168,Wales
EPI_ISL_622290,Europe / Denmark
EPI_ISL_622289,Europe / Denmark
EPI_ISL_621688,Europe / Denmark
EPI_ISL_621950,Europe / Denmark
EPI_ISL_621945,Europe / Denmark
EPI_ISL_621808,Europe / Denmark
EPI_ISL_621701,Europe / Denmark
EPI_ISL_599508,Scotland
EPI_ISL_621944,Europe / Denmark
EPI_ISL_621830,Europe / Denmark
EPI_ISL_828707,Europe / Iceland
EPI_ISL_599525,Scotland
EPI_ISL_621969,Europe / Denmark
EPI_ISL_621416,Europe / Denmark
EPI_ISL_621989,Europe / Denmark
EPI_ISL_581232,Wales
EPI_ISL_622286,Europe / Denmark
EPI_ISL_599721,Scotland
EPI_ISL_621947,Europe / Denmark
EPI_ISL_621664,Europe / Denmark
EPI_ISL_621657,Europe / Denmark
EPI_ISL_578061,Europe / Netherlands
EPI_ISL_828269,Europe / Iceland
EPI_ISL_622287,Europe / Denmark
EPI_ISL_621709,Europe / Denmark
EPI_ISL_599697,Scotland
EPI_ISL_622285,Europe / Denmark
EPI_ISL_621985,Europe / Denmark
EPI_ISL_599691,Scotland
EPI_ISL_601204,Scotland
EPI_ISL_621655,Europe / Denmark
EPI_ISL_574250,Wales
EPI_ISL_1510689,Europe / Canary Islands
EPI_ISL_601109,Scotland
EPI_ISL_601144,Scotland
EPI_ISL_574028,Wales
