strain,country
EPI_ISL_616464,Europe / Denmark
EPI_ISL_617823,Europe / Denmark
EPI_ISL_753842,Europe / Germany
EPI_ISL_616483,Europe / Denmark
EPI_ISL_616477,Europe / Denmark
EPI_ISL_1311679,Europe / Netherlands
EPI_ISL_2047833,Europe / Spain
EPI_ISL_831088,Europe / Spain
EPI_ISL_531422,Scotland
EPI_ISL_616428,Europe / Denmark
EPI_ISL_617803,Europe / Denmark
EPI_ISL_616561,Europe / Denmark
EPI_ISL_616560,Europe / Denmark
EPI_ISL_616686,Europe / Denmark
EPI_ISL_531416,Scotland
EPI_ISL_582814,Europe / Spain
EPI_ISL_1140199,Europe / Germany
EPI_ISL_616474,Europe / Denmark
EPI_ISL_617801,Europe / Denmark
EPI_ISL_539605,Europe / Germany
EPI_ISL_616543,Europe / Denmark
EPI_ISL_535645,Europe / Switzerland
EPI_ISL_831089,Europe / Spain
EPI_ISL_569097,Europe / France
EPI_ISL_616523,Europe / Denmark
EPI_ISL_569098,Europe / France
EPI_ISL_616461,Europe / Denmark
EPI_ISL_616421,Europe / Denmark
EPI_ISL_578257,Republic of Ireland
EPI_ISL_616503,Europe / Denmark
EPI_ISL_523807,Europe / Netherlands
EPI_ISL_617799,Europe / Denmark
EPI_ISL_616520,Europe / Denmark
EPI_ISL_534658,Scotland
EPI_ISL_534652,Scotland
EPI_ISL_616526,Europe / Denmark
EPI_ISL_534669,Scotland
EPI_ISL_534670,Scotland
EPI_ISL_534671,Scotland
EPI_ISL_531374,Scotland
EPI_ISL_531249,Scotland
EPI_ISL_531420,Scotland
EPI_ISL_654195,Europe / Spain
EPI_ISL_617800,Europe / Denmark
EPI_ISL_541928,Europe / Spain
EPI_ISL_871984,Europe / Spain
EPI_ISL_540301,Scotland
EPI_ISL_516799,Asia / Hong Kong
EPI_ISL_654085,Europe / Spain
EPI_ISL_540256,Scotland
EPI_ISL_540249,Scotland
EPI_ISL_830551,Europe / Iceland
EPI_ISL_830558,Europe / Iceland
EPI_ISL_871985,Europe / Spain
EPI_ISL_871987,Europe / Spain
EPI_ISL_609990,Europe / Italy
EPI_ISL_871986,Europe / Spain
EPI_ISL_732809,Europe / Spain
EPI_ISL_691710,Europe / Spain
EPI_ISL_691716,Europe / Spain
EPI_ISL_691714,Europe / Spain
EPI_ISL_541927,Europe / Spain
EPI_ISL_540240,Scotland
EPI_ISL_553221,Wales
EPI_ISL_531412,Scotland
EPI_ISL_553023,Wales
EPI_ISL_553016,Wales
EPI_ISL_540264,Scotland
EPI_ISL_535596,Europe / Switzerland
EPI_ISL_569113,Europe / France
EPI_ISL_568402,Scotland
EPI_ISL_531330,Scotland
EPI_ISL_824408,Europe / Italy
EPI_ISL_540318,Scotland
EPI_ISL_534453,Scotland
EPI_ISL_829009,Europe / Iceland
EPI_ISL_3233543,Europe / Spain
EPI_ISL_3233542,Europe / Spain
EPI_ISL_569108,Europe / France
EPI_ISL_568414,Scotland
EPI_ISL_691719,Europe / Spain
EPI_ISL_691709,Europe / Spain
EPI_ISL_691720,Europe / Spain
EPI_ISL_534502,Scotland
EPI_ISL_553212,Wales
EPI_ISL_530562,Scotland
EPI_ISL_691715,Europe / Spain
EPI_ISL_691711,Europe / Spain
EPI_ISL_534686,Scotland
EPI_ISL_824468,Europe / Spain
EPI_ISL_3233545,Europe / Spain
EPI_ISL_918127,Scotland
EPI_ISL_531442,Scotland
EPI_ISL_531321,Scotland
EPI_ISL_635106,Europe / Norway
EPI_ISL_541929,Europe / Spain
EPI_ISL_531432,Scotland
EPI_ISL_691717,Europe / Spain
EPI_ISL_553087,Wales
EPI_ISL_529701,Wales
EPI_ISL_871988,Europe / Spain
EPI_ISL_2017508,Europe / Spain
EPI_ISL_691721,Europe / Spain
EPI_ISL_691712,Europe / Spain
EPI_ISL_529702,Wales
EPI_ISL_691718,Europe / Spain
EPI_ISL_691713,Europe / Spain
EPI_ISL_802176,North America / USA
EPI_ISL_691707,Europe / Spain
EPI_ISL_1225556,North America / Panama
EPI_ISL_1272495,Europe / Spain
EPI_ISL_540331,Scotland
EPI_ISL_552759,Wales
EPI_ISL_949203,Europe / Spain
EPI_ISL_1272502,Europe / Spain
EPI_ISL_2017526,Europe / Spain
EPI_ISL_949229,Europe / Spain
EPI_ISL_1272503,Europe / Spain
EPI_ISL_540336,Scotland
EPI_ISL_540243,Scotland
EPI_ISL_530528,Scotland
EPI_ISL_2404945,Europe / Spain
EPI_ISL_1272501,Europe / Spain
EPI_ISL_2603251,Europe / Spain
EPI_ISL_540257,Scotland
EPI_ISL_568407,Scotland
EPI_ISL_541934,Europe / Spain
EPI_ISL_2404944,Europe / Spain
EPI_ISL_3233547,Europe / Spain
EPI_ISL_2404942,Europe / Spain
EPI_ISL_691703,Europe / Spain
EPI_ISL_691704,Europe / Spain
EPI_ISL_691705,Europe / Spain
EPI_ISL_530596,Scotland
EPI_ISL_824469,Europe / Spain
EPI_ISL_549029,Europe / Norway
EPI_ISL_575823,Wales
EPI_ISL_534484,Scotland
EPI_ISL_541933,Europe / Spain
EPI_ISL_534477,Scotland
EPI_ISL_540233,Scotland
EPI_ISL_691701,Europe / Spain
EPI_ISL_530429,Scotland
EPI_ISL_691700,Europe / Spain
EPI_ISL_3233548,Europe / Spain
EPI_ISL_691702,Europe / Spain
EPI_ISL_534455,Scotland
EPI_ISL_3233544,Europe / Spain
EPI_ISL_539611,Europe / Germany
EPI_ISL_691706,Europe / Spain
EPI_ISL_683604,Europe / Spain
EPI_ISL_2404941,Europe / Spain
EPI_ISL_530489,Scotland
EPI_ISL_1272504,Europe / Spain
EPI_ISL_2404940,Europe / Spain
EPI_ISL_683626,Europe / Spain
EPI_ISL_2404939,Europe / Spain
EPI_ISL_569127,Europe / France
EPI_ISL_1272533,Europe / Spain
EPI_ISL_1272527,Europe / Spain
EPI_ISL_3233546,Europe / Spain
EPI_ISL_960062,Europe / Germany
EPI_ISL_1140204,Europe / Germany
EPI_ISL_582001,Europe / Switzerland
EPI_ISL_552663,Wales
EPI_ISL_569140,Europe / France
EPI_ISL_530542,Scotland
EPI_ISL_530766,Scotland
EPI_ISL_552635,Wales
EPI_ISL_529717,Wales
EPI_ISL_534574,Scotland
EPI_ISL_534467,Scotland
EPI_ISL_534593,Scotland
EPI_ISL_534489,Scotland
EPI_ISL_534595,Scotland
EPI_ISL_534546,Scotland
EPI_ISL_535618,Europe / Switzerland
EPI_ISL_552668,Wales
EPI_ISL_529705,Wales
EPI_ISL_575885,Wales
EPI_ISL_2404948,Europe / Spain
EPI_ISL_575811,Wales
EPI_ISL_871989,Europe / Spain
EPI_ISL_552630,Wales
EPI_ISL_535625,Europe / Switzerland
EPI_ISL_954810,Europe / Spain
EPI_ISL_609992,Europe / Italy
EPI_ISL_828016,Europe / Iceland
EPI_ISL_2404951,Europe / Spain
EPI_ISL_2404950,Europe / Spain
EPI_ISL_2404949,Europe / Spain
EPI_ISL_691722,Europe / Spain
EPI_ISL_593721,Oceania / Australia
EPI_ISL_534572,Scotland
EPI_ISL_552769,Wales
EPI_ISL_804961,Europe / Spain
EPI_ISL_683643,Europe / Spain
EPI_ISL_581979,Europe / Switzerland
EPI_ISL_8767168,Oceania / Australia
EPI_ISL_678340,Oceania / Australia
EPI_ISL_534601,Scotland
EPI_ISL_534570,Scotland
EPI_ISL_539351,Europe / Switzerland
EPI_ISL_539350,Europe / Switzerland
EPI_ISL_539341,Europe / Switzerland
EPI_ISL_871990,Europe / Spain
EPI_ISL_534592,Scotland
EPI_ISL_534588,Scotland
EPI_ISL_534539,Scotland
EPI_ISL_815370,Europe / Germany
EPI_ISL_949241,Europe / Spain
EPI_ISL_1939355,Europe / Canary Islands
EPI_ISL_2333540,Europe / Norway
EPI_ISL_530722,Scotland
EPI_ISL_3190069,Europe / Spain
EPI_ISL_530743,Scotland
EPI_ISL_2644241,Europe / Slovenia
EPI_ISL_2017542,Europe / Spain
EPI_ISL_539366,Europe / Switzerland
EPI_ISL_539359,Europe / Switzerland
EPI_ISL_539367,Europe / Switzerland
EPI_ISL_530754,Scotland
EPI_ISL_539357,Europe / Switzerland
EPI_ISL_539360,Europe / Switzerland
EPI_ISL_539356,Europe / Switzerland
EPI_ISL_7671763,Europe / Italy
EPI_ISL_824470,Europe / Spain
EPI_ISL_4548968,Europe / Spain
