tip,cluster,timepoint
EPI_ISL_3058325,8,D
EPI_ISL_3247548,8,D
EPI_ISL_3088225,8,D
EPI_ISL_3088098,8,D
EPI_ISL_2931965,8,D
EPI_ISL_3136381,8,D
EPI_ISL_3088172,8,D
EPI_ISL_2931961,8,D
EPI_ISL_3503118,8,D
EPI_ISL_3011366,8,D
EPI_ISL_2789571,8,D
EPI_ISL_3058410,8,D
EPI_ISL_2968181,8,D
EPI_ISL_3205332,8,D
EPI_ISL_2862372,8,D
EPI_ISL_3118104,8,D
EPI_ISL_3468090,8,D
EPI_ISL_2968180,8,D
EPI_ISL_3591136,8,D
EPI_ISL_3205420,8,D
EPI_ISL_2984294,8,D
EPI_ISL_2968185,8,D
EPI_ISL_3058276,8,D
EPI_ISL_3030762,8,D
EPI_ISL_2931991,8,D
EPI_ISL_3298460,8,D
EPI_ISL_3467573,8,D
EPI_ISL_3058441,8,D
EPI_ISL_2862409,8,D
EPI_ISL_2968175,8,D
EPI_ISL_3154709,8,D
EPI_ISL_3045726,8,D
EPI_ISL_3011550,8,D
EPI_ISL_3088192,8,D
EPI_ISL_2862379,8,D
EPI_ISL_3088178,8,D
EPI_ISL_3118098,8,D
EPI_ISL_3058326,8,D
EPI_ISL_2862373,8,D
EPI_ISL_3088241,8,D
EPI_ISL_3247554,8,D
EPI_ISL_2984259,8,D
EPI_ISL_2932085,8,D
EPI_ISL_2893094,8,D
EPI_ISL_3118179,8,D
EPI_ISL_3502964,8,D
EPI_ISL_3011436,8,D
EPI_ISL_3118133,8,D
EPI_ISL_3467489,8,D
EPI_ISL_2893116,8,D
EPI_ISL_3102106,8,D
EPI_ISL_3088031,8,D
EPI_ISL_2893084,8,D
EPI_ISL_3717017,8,D
EPI_ISL_2862389,8,D
EPI_ISL_3030809,8,D
EPI_ISL_2893197,8,D
EPI_ISL_2893112,8,D
EPI_ISL_3205181,8,D
EPI_ISL_3088281,8,D
EPI_ISL_3136266,8,D
EPI_ISL_3298439,8,D
EPI_ISL_3058480,8,D
EPI_ISL_2862398,8,D
EPI_ISL_3045725,8,D
EPI_ISL_3088199,8,D
EPI_ISL_2862378,8,D
EPI_ISL_3716950,8,D
EPI_ISL_4079359,8,D
EPI_ISL_3088212,8,D
EPI_ISL_3011546,8,D
EPI_ISL_3030811,8,D
EPI_ISL_2932238,8,D
EPI_ISL_3045731,8,D
EPI_ISL_3118058,8,D
EPI_ISL_2893137,8,D
EPI_ISL_3058385,8,D
EPI_ISL_10265861,8,D
EPI_ISL_3011289,8,D
EPI_ISL_3030806,8,D
EPI_ISL_3011466,8,D
EPI_ISL_2789630,8,D
EPI_ISL_3154615,8,D
EPI_ISL_3118199,8,D
EPI_ISL_2968241,8,D
EPI_ISL_2932243,8,D
EPI_ISL_2968166,8,D
EPI_ISL_3298558,8,D
EPI_ISL_2931988,8,D
EPI_ISL_2862427,8,D
EPI_ISL_3058371,8,D
EPI_ISL_3011478,8,D
EPI_ISL_3088267,8,D
EPI_ISL_2893196,8,D
EPI_ISL_2789617,8,D
EPI_ISL_3011276,8,D
EPI_ISL_2931978,8,D
EPI_ISL_3011377,8,D
EPI_ISL_3205403,8,D
EPI_ISL_3298454,8,D
EPI_ISL_3591058,8,D
EPI_ISL_3247644,8,D
EPI_ISL_3117986,8,D
EPI_ISL_3204992,8,D
EPI_ISL_3011540,8,D
EPI_ISL_2862358,8,D
EPI_ISL_3356231,8,D
EPI_ISL_2984275,8,D
EPI_ISL_3118078,8,D
EPI_ISL_3118130,8,D
EPI_ISL_3011496,8,D
EPI_ISL_2862374,8,D
EPI_ISL_3088256,8,D
EPI_ISL_2931947,8,D
EPI_ISL_3011482,8,D
EPI_ISL_3467744,8,D
EPI_ISL_2931966,8,D
EPI_ISL_3136396,8,D
EPI_ISL_2893085,8,D
EPI_ISL_3205065,8,D
EPI_ISL_2932016,8,D
EPI_ISL_2862390,8,D
EPI_ISL_2893063,8,D
EPI_ISL_2862414,8,D
EPI_ISL_3088244,8,D
EPI_ISL_3535370,8,D
EPI_ISL_2932169,8,D
EPI_ISL_3045692,8,D
EPI_ISL_2931954,8,D
EPI_ISL_3058320,8,D
EPI_ISL_2931977,8,D
EPI_ISL_2893200,8,D
EPI_ISL_3088018,8,D
EPI_ISL_3154681,8,D
EPI_ISL_3011461,8,D
EPI_ISL_3088177,8,D
EPI_ISL_3030761,8,D
EPI_ISL_2893070,8,D
EPI_ISL_3011312,8,D
EPI_ISL_3058471,8,D
EPI_ISL_3088235,8,D
EPI_ISL_2931986,8,D
EPI_ISL_3030913,8,D
EPI_ISL_2984416,8,D
EPI_ISL_3247687,8,D
EPI_ISL_3374861,8,D
EPI_ISL_3355992,8,D
EPI_ISL_3011425,8,D
EPI_ISL_2893061,8,D
EPI_ISL_3058434,8,D
EPI_ISL_2933899,8,D
EPI_ISL_3058307,8,D
EPI_ISL_2893108,8,D
EPI_ISL_2893046,8,D
EPI_ISL_3204952,8,D
EPI_ISL_2984415,8,D
EPI_ISL_3375060,8,D
EPI_ISL_2893115,8,D
EPI_ISL_2893120,8,D
EPI_ISL_2968127,8,D
EPI_ISL_3011458,8,D
EPI_ISL_3045703,8,D
EPI_ISL_3136445,8,D
